Dataset,N_total,PhenoGemini,PhenoGemini (HPO Labels:ClinPhen),PhenoGemini-LLM,PhenoApt,Phenolyzer,Phrank,PubCaseFinder,ClinPrior,SHEPHERD,PhenoBrain
Leave-one-out (Top-1),34705,35.57,34.75,46.51,12.78,10.21,8.32,8.15,4.43,4.42,11.66
Leave-one-out (Top-2),34705,43.29,40.23,58.66,18.51,15.24,12.83,12.74,6.67,7.43,17.19
Leave-one-out (Top-5),34705,53.68,48.43,71.9,26.72,24.13,20.48,20.41,10.89,12.89,26.39
Leave-one-out (Top-10),34705,61.54,54.89,79.71,34.44,32.96,26.86,27.63,15.29,19.69,34.17
Leave-one-out (Top-20),34705,68.63,61.04,85.77,42.77,41.22,33.95,35.44,21.01,27.82,41.49
Leave-one-out (Top-50),34705,77.42,68.82,91.62,53.8,53.12,44.81,47.25,30.19,40.54,51.35
Leave-one-out (Top-100),34705,82.96,74.02,94.59,61.51,61.03,52.7,56.3,38.31,50.6,56.33
