Dataset,N_total,PhenoGemini,PhenoGemini (HPO Labels:ClinPhen),PhenoGemini-LLM,PhenoApt,Phenolyzer,Phrank,PubCaseFinder,ClinPrior,SHEPHERD,PhenoBrain
Time-split (Top-1),13356,19.71,14.05,38.99,8.83,7.82,6.07,5.64,3.17,3.86,8.96
Time-split (Top-2),13356,28.13,20.72,50.06,13.08,12.52,9.64,9.05,4.84,6.14,13.19
Time-split (Top-5),13356,40.48,31.16,63.56,20.09,19.71,16.15,15.66,8.51,10.28,21.2
Time-split (Top-10),13356,50.48,40.51,71.98,27.3,26.7,22.07,21.86,12.77,15.73,28.51
Time-split (Top-20),13356,59.19,50.4,79.6,34.95,34.85,28.61,28.95,18.02,23.07,35.83
Time-split (Top-50),13356,70.64,62.52,87.16,45.44,45.99,38.02,40.24,26.9,34.8,45.04
Time-split (Top-100),13356,78.11,70.62,91.55,53.53,54.8,46.04,49.62,34.85,44.0,50.72
